"Topic taxonomy adaptation for group profiling"
"Finding hierarchical heavy hitters in streaming data"
"Learning correlations using the mixture-of-subsets model"
"A clustering framework based on subjective and objective validity criteria"
"Précis: from unstructured keywords as queries to structured databases as answers"
"A multi-ranker model for adaptive XML searching"
"Flexible and efficient IR using array databases"
"Modelling retrieval models in a probabilistic relational algebra with a new operator: the relational Bayes"
"Introduction to the special issue on database and information retrieval integration"
"QQL: A DB&IR Query Language"
"TopX: efficient and versatile top-k query processing for semistructured data"
"Proceedings of the 2008 International Conference on Web Search and Data Mining"
"Web information management: past, present and future"
"Machine reading at web scale"
"Crawl ordering by search impact"
"On placing skips optimally in expectation"
"Disorder inequality: a combinatorial approach to nearest neighbor search"
"Beyond basic faceted search"
"Entropy of search logs: how hard is search? with personalization? with backoff?"
"Fast learning of document ranking functions with the committee perceptron"
"Ranking web sites with real user traffic"
"SoftRank: optimizing non-smooth rank metrics"
"An experimental comparison of click position-bias models"
"A scalable pattern mining approach to web graph compression with communities"
"Collaboration over time: characterizing and modeling network evolution"
"Preferential behavior in online groups"
"Connectivity structure of bipartite graphs via the KNC-plot"
"Deep classifier: automatically categorizing search results into large-scale hierarchies"
"Personal name classification in web queries"
"Understanding temporal aspects in document classification"
"On ranking controversies in wikipedia: models and evaluation"
"Finding high-quality content in social media"
"Can social bookmarking improve web search?"
"Identifying the influential bloggers in a community"
"Opinion spam and analysis"
"A holistic lexicon-based approach to opinion mining"
"An empirical analysis of sponsored search performance in search engine advertising"
"Advertising keyword suggestion based on concept hierarchy"
"Compositional mining of multirelational biological datasets"
"Discovering semantic biomedical relations utilizing the Web"
"Developmental stage annotation of Drosophila gene expression pattern images via an entire solution path for LDA"
"Adaptive discriminant analysis for microarray-based classification"
"A new efficient probabilistic model for mining labeled ordered trees applied to glycobiology"
"Databases with uncertainty and lineage"
"Maintaining bounded-size sample synopses of evolving datasets"
"Guest Editors' message"
"Delay aware querying with Seaweed"
"The Juxtaposed approximate PageRank method for robust PageRank approximation in a peer-to-peer web search network"
"XML schema refinement through redundancy detection and normalization"
"In memoriam Klaus R. Dittrich (1950---2007)"
"Trustworthy keyword search for compliance storage"
"An adaptive RFID middleware for supporting metaphysical data independence"
"Implementing mapping composition"
"Reality check: a case study of an EII research prototype encountering customer needs"
"Biocomputational puzzles: data, algorithms, and visualization"
"Building web applications without a database system"
"P2P systems with transactional semantics"
"Summary management in P2P systems"
"Semantic peer, here are the neighbors you want!"
"Scalable XQuery type matching"
"Engineering succinct DOM"
"Revisiting redundancy and minimization in an XPath fragment"
"Schema merging and mapping creation for relational sources"
"Schema mapping verification: the spicy way"
"SeMap: a generic mapping construction system"
"Deleting index entries from compliance storage"
"Online recovery in cluster databases"
"A concurrency control protocol for parallel B-tree structures without latch-coupling for explosively growing digital content"
